"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"6/23/2016","Birdbath Columbus","BIRDBATH - COLUMBUS","8.25","debit","Fast Food","Quicksilver","",""
"6/23/2016","Amazon","AMAZON.COM AMZN.COM/BILL","38.30","debit","Shopping","Quicksilver","",""
"6/23/2016","Broadway Farm","BROADWAY FARM","13.30","debit","Groceries","Quicksilver","",""
"6/23/2016","Bread Market","BREAD MARKET","14.46","debit","Restaurants","Sapphire","",""
"6/22/2016","Cafe Duke","CAFE DUKE","8.66","debit","Restaurants","Quicksilver","",""
"6/22/2016","MTA","MTA MVM*R155-50 ST","80.00","debit","Train/Subway","Quicksilver","",""
"6/22/2016","CVS","CVS/PHARMACY #02445 NEW YORK NY","5.93","debit","Pharmacy","8572","CJ Expense",""
"6/22/2016","Basics Plus Inc","BASICS PLUS INC","13.04","debit","Home","Sapphire","",""
"6/22/2016","Dune","DUNE RESORTS - A WAVE","1227.89","debit","Hotel","Sapphire","",""
"6/21/2016","Hercules Pinmate Hicksville","HERCULES PINMATE HICKSVILLE NY","20.00","debit","Charity","8572","CJ Expense",""
"6/21/2016","Michaels","MICHAELS STORES 9025 NEW YORK NY","66.91","debit","Hobbies","8572","CJ Expense",""
"6/21/2016","Cafe","CAFE 86 NEW YORK NY","19.00","debit","Restaurants","8572","CJ Expense",""
"6/21/2016","7-Eleven","7ELEVEN B 069","17.21","debit","Fast Food","Sapphire","",""
"6/21/2016","Nyc Taxi","NYC TAXI","70.01","debit","Rental Car & Taxi","Sapphire","",""
"6/21/2016","Bread Market","BREAD MARKET","14.46","debit","Restaurants","Sapphire","",""
"6/21/2016","Bread Market","BREAD MARKET","23.48","debit","Restaurants","Quicksilver","",""
"6/21/2016","Citi Autopay Des","CITI AUTOPAY DES:PAYMENT ID:XXXXX5998249669 INDN:CORBIN PAGE CO...","139.57","debit","Bills & Utilities","Regular Checking","",""
"6/21/2016","Consolidated Edison","CON ED OF NY DES:INTELL CK ID:XXXXX1116666092 INDN:CORBIN PAGE CO...","126.65","debit","Utilities","Regular Checking","",""
"6/20/2016","Gristedes","GRISTEDES # 056 NEW YORK NY","55.58","debit","Groceries","8572","CJ Expense",""
"6/20/2016","Chop't","CHOPT - UWS NEW YORK NY","23.14","debit","Restaurants","8572","CJ Expense",""
"6/20/2016","Nepresso Cafetaria","NEPRESSO CAFETARIA","12.71","debit","Restaurants","Sapphire","",""
"6/20/2016","Paco D Agua","PACO D AGUA","20.79","debit","Vacation","Sapphire","CJ Expense",""
"6/20/2016","Uber.com","Uber BV","36.64","debit","Rental Car & Taxi","Sapphire","",""
"6/20/2016","Amazon","AMAZON MKTPLACE PMTS","10.99","debit","Shopping","Quicksilver","",""
"6/20/2016","ATM Withdrwl R","ATM-0033 06/18 #000356069 WITHDRWL R Augusta, 62 Lisboa","56.49","debit","Cash & ATM","Regular Checking","CJ Expense",""
"6/19/2016","A Margem Actividades","A MARGEM ACTIVIDADES","23.73","debit","Vacation","Sapphire","CJ Expense",""
"6/19/2016","Uber.com","Uber BV","5.15","debit","Rental Car & Taxi","Sapphire","",""
"6/19/2016","Uber.com","Uber BV","7.10","debit","Rental Car & Taxi","Sapphire","",""
"6/19/2016","Challengeconcept","CHALLENGECONCEPT","15.82","debit","Vacation","Sapphire","CJ Expense",""
"6/19/2016","Uber.com","Uber BV","6.76","debit","Rental Car & Taxi","Sapphire","",""
"6/19/2016","Europcar","Europcar","14.95","debit","Rental Car & Taxi","Sapphire","CJ Expense",""
"6/19/2016","Parque Da Pena","PARQUE DA PENA","67.97","debit","Vacation","Sapphire","CJ Expense",""
"6/19/2016","Uber.com","Uber BV","5.91","debit","Rental Car & Taxi","Sapphire","",""
"6/19/2016","Bubbletime Act Hot","BUBBLETIME ACT. HOT.","18.64","debit","Vacation","Sapphire","CJ Expense",""
"6/19/2016","Loja Casa Governador","LOJA CASA GOVERNADOR CSJ","19.21","debit","Vacation","Sapphire","CJ Expense",""
"6/18/2016","Autopay Rautopay Auto","AUTOPAY 999990000004498RAUTOPAY AUTO-PMT","139.57","credit","Credit Card Payment","8572","CJ Expense",""
"6/17/2016","Amazon","AMAZON.COM AMZN.COM/BI AMZN.COM/BILL WA","27.57","debit","Shopping","8572","CJ Expense",""
"6/17/2016","Uber.com","Uber BV","8.57","debit","Rental Car & Taxi","Sapphire","",""
"6/17/2016","Uber.com","Uber BV","9.08","debit","Rental Car & Taxi","Sapphire","",""
"6/17/2016","P A Cepsa","P A CEPSA ALMODOVAR NAS","73.14","debit","Gas & Fuel","Sapphire","CJ Expense",""
"6/16/2016","Metro","ATM-0033 06/16 #000834147 WITHDRWL Metro-Restaurador Lisboa","135.61","debit","Cash Withdrawl","Regular Checking","CJ Expense",""
"6/16/2016","Amazon","AMAZON.COM AMZN.COM/BILL","27.21","debit","Shopping","Quicksilver","",""
"6/16/2016","Amazon","AMAZON.COM AMZN.COM/BILL","119.74","debit","Shopping","Quicksilver","",""
"6/16/2016","Amazon","Amazon.com AMZN.COM/BILL WA","26.88","debit","Shopping","8572","CJ Expense",""
"6/16/2016","Amazon","AMAZON MKTPLACE PMTS AMZN.COM/BILL WA","29.86","debit","Shopping","8572","CJ Expense",""
"6/15/2016","Cafe Do Mar","CAFE DO MAR","10.74","debit","Restaurants","Sapphire","CJ Expense",""
"6/14/2016","Restaurante Arimar","RESTAURANTE ARIMAR","47.25","debit","Restaurants","Sapphire","CJ Expense",""
"6/14/2016","Amazon","AMAZON MKTPLACE PMTS AMZN.COM/BILL WA","47.80","debit","Shopping","8572","CJ Expense",""
"6/13/2016","Rodogeste Lda Posto","RODOGESTE LDA POSTO ABAS","71.55","debit","Gas & Fuel","Sapphire","CJ Expense",""
"6/13/2016","Makespace Com","MAKESPACE.COM","52.43","debit","Home Supplies","Quicksilver","",""
"6/13/2016","Amazon","AMAZON.COM AMZN.COM/BI AMZN.COM/BILL WA","60.36","debit","Shopping","8572","CJ Expense",""
"6/13/2016","Withdrwl Rua De","1620000001 06/13 #000393063 WITHDRWL Rua 25 de Abril,1 Lagos","251.30","debit","Cash & ATM","Regular Checking","CJ Expense",""
"6/12/2016","Sogrape Vinhos","SOGRAPE VINHOS","23.79","debit","Alcohol & Bars","Sapphire","CJ Expense",""
"6/12/2016","Sogevinus Burmester","SOGEVINUS BURMESTER","13.60","debit","Alcohol & Bars","Sapphire","CJ Expense",""
"6/12/2016","Douro Velho","DOURO VELHO","18.13","debit","Food & Dining","Sapphire","CJ Expense",""
"6/12/2016","Wine Box","THE WINE BOX","39.99","debit","Restaurants","Sapphire","CJ Expense",""
"6/12/2016","Vinango","VINANGO","26.63","debit","Food & Dining","Sapphire","CJ Expense",""
"6/12/2016","Tomaz Do Douro","TOMAZ DO DOURO EMPREEN T","28.32","debit","Sports","Sapphire","CJ Expense",""
"6/10/2016","Loja Relay Lisboa","LOJA RELAY LISBOA","13.70","debit","Food & Dining","Sapphire","CJ Expense",""
"6/10/2016","Starbucks","STARBUCKS COFEE CHEGADAS","7.25","debit","Coffee Shops","Sapphire","",""
"6/10/2016","Coned","ConEd","63.33","credit","Income","Venmo","",""
"6/09/2016","For Merry Christmas","for Merry Christmas! We each overpaid 1/4 month of rent - in the initial month they only charged us 1/2 rent and we paid for a full month.","912.50","credit","Income","Venmo","",""
"6/09/2016","ATM Withdrwl Porto","ATM-0035 06/09 #000844153 WITHDRWL Porto GranPlaza - PORTO","228.24","debit","Cash & ATM","Regular Checking","CJ Expense",""
"6/09/2016","Laguardia Usa Llc","LAGUARDIA USA, LLC","13.05","debit","Fast Food","Quicksilver","",""
"6/09/2016","Laguardia Usa Llc","LAGUARDIA USA, LLC","24.51","debit","Fast Food","Quicksilver","",""
"6/09/2016","Uber","UBER   *JUN08 US ABTYW","86.19","debit","Rental Car & Taxi","Sapphire","",""
"6/09/2016","Ink T","INK #4983 T3","10.33","debit","Food & Dining","Sapphire","",""
"6/08/2016","Venmo Des Cashout","VENMO-0 DES:CASHOUT ID:XXXXX7752 INDN:CORBIN PAGE CO ID:XXXXX81992 PPD","2200.00","credit","Income","Regular Checking","",""
"6/08/2016","Cafe","CAFE 86 NEW YORK NY","14.04","debit","Restaurants","8572","CJ Expense",""
"6/08/2016","Annual Membership Fee","RENEWAL MEMBERSHIP FEE 320161603982469448","95.00","debit","Service Fee","Starwood Preferred Guest","",""
"6/08/2016","Joe 85th Colum","SQ *JOE - 85TH & COLUM New York NY","7.50","debit","Coffee Shops","8572","CJ Expense",""
"6/08/2016","Bread Market","BREAD MARKET","9.03","debit","Restaurants","Sapphire","",""
"6/08/2016","Transfer to Regular Checking","CASHED OUT","2200.00","debit","Income","Venmo","",""
"6/07/2016","Luke's Lobster","LUKE`S LOBSTER","31.03","debit","Restaurants","Quicksilver","",""
"6/07/2016","Barnes & Noble","BARNES & NOBLE #1979 NEW YORK NY","21.76","debit","Books","8572","CJ Expense",""
"6/07/2016","R Security Deposit","2R security deposit","1875.00","credit","Income","Venmo","",""
"6/07/2016","Uhaul Rental","Uhaul rental","60.00","credit","Income","Venmo","",""
"6/07/2016","U-Haul","U-HAUL MOVING & STORAGE O","2.18","debit","Home Services","Quicksilver","",""
"6/07/2016","New York Times","NEW YORK TIMES DIGITAL","8.00","debit","Books","Quicksilver","",""
"6/07/2016","Google Storage","GOOGLE *Google Storage","1.99","debit","Internet","Freedom","",""
"6/07/2016","iTunes","APL* ITUNES.COM/BILL","3.26","debit","Electronics & Software","Sapphire","",""
"6/07/2016","Naya Express","NAYA EXPRESS","26.25","debit","Restaurants","Sapphire","",""
"6/07/2016","Seamlssthecottage","SEAMLSSTHECOTTAGE","57.72","debit","Restaurants","Quicksilver","",""
"6/06/2016","Jpmorgan Chase","JPMorgan Chase DES:Ext Trnsfr ID:XXXXX73362 INDN:NAVIGATOR LABS, LLC...","4975.00","debit","Financial","Regular Checking","",""
"6/06/2016","Jpmorgan Chase Des","JPMorgan Chase DES:Ext Trnsfr ID:XXXXX69649 INDN:NAVIGATOR LABS, LLC...","13708.00","credit","Transfer","Regular Checking","",""
"6/06/2016","Basics Plus Inc","BASICS PLUS INC NEW YORK NY","30.44","debit","Home","8572","CJ Expense",""
"6/05/2016","Bed Bath & Beyond","BED BATH & BEYOND #119 NEW YORK NY","174.00","debit","Furnishings","8572","CJ Expense",""
"6/05/2016","Whole Foods","WHOLEFDS TRB 10245 NEW YORK NY","17.73","debit","Groceries","8572","CJ Expense",""
"6/05/2016","IKEA","IKEA BROOKLYN BROOKLYN NY","203.49","debit","Furnishings","8572","CJ Expense",""
"6/05/2016","Barnes & Noble","BARNES & NOBLE #2255 NEW YORK NY","6.21","debit","Books","8572","CJ Expense",""
"6/05/2016","Keyme Ny","KEYME INC 888-380-0394 8883800394 NY","15.22","debit","Home Improvement","8572","CJ Expense",""
"6/04/2016","Cmc Closetmaid Corp","CMC*CLOSETMAID CORP 800-227-8319 FL","91.20","debit","Home","8572","CJ Expense",""
"6/04/2016","Hudson Farms","HUDSON FARM","33.57","debit","Groceries","Quicksilver","",""
"6/04/2016","Duane Reade","DUANE READE #14366","21.58","debit","Pharmacy","Quicksilver","",""
"6/04/2016","Flycleaners","FLYCLEANERS","26.47","debit","Laundry","Quicksilver","",""
"6/04/2016","Hudson Farms","HUDSON FARM","11.99","debit","Groceries","Quicksilver","",""
"6/04/2016","J.Crew","J CREW","250.71","credit","Clothing","Quicksilver","",""
"6/03/2016","Sunoco","SUNOCO 0394956702 QPS NORTH EAST MD","43.64","debit","Gas & Fuel","8572","CJ Expense",""
"6/03/2016","ATM Fee","Chesapeake Tra 06/03 #000041955 WITHDRWL I-95 JFK Memorial North East MD","3.00","debit","ATM Fee","Regular Checking","",""
"6/03/2016","Chesapeake Tra Withdrwl","Chesapeake Tra 06/03 #000041955 WITHDRWL I-95 JFK Memorial North East MD","120.00","debit","Cash & ATM","Regular Checking","",""
"6/03/2016","Empire Bc Des","Empire BC DES:RA-1261022 ID:XXXXX0717262155 INDN:CORBIN PAGE CO...","222.04","debit","Health Insurance","Regular Checking","",""
"6/03/2016","Chase Des Autopay","CHASE DES:AUTOPAY ID:XXXXXXXXXX18337 INDN:PAGE CORBIN T CO ID:XXXXX39224 PPD","2098.10","debit","Credit Card Payment","Regular Checking","",""
"6/03/2016","Wendy's","WENDYS CHESAPEAKE PLAZA","13.02","debit","Fast Food","Quicksilver","",""
"6/03/2016","Benvenuto Tribeca Cafe","BENVENUTO TRIBECA CAFE","36.64","debit","Restaurants","Quicksilver","",""
"6/03/2016","U-Haul","UHI*U-HAULSECURITY PUBLIC","176.04","debit","Home Services","Quicksilver","CJ Expense",""
"6/03/2016","Subway","SUBWAY 03227840","6.36","debit","Fast Food","Quicksilver","",""
"6/03/2016","Uber.com","UBER TECHNOLOGIES INC","12.00","debit","Rental Car & Taxi","Sapphire","",""
"6/03/2016","Gotan Tribeca","SQ *GOTAN TRIBECA","20.69","debit","Restaurants","Sapphire","",""
"6/03/2016","Bistro Cafe","BISTRO CAFE 2","14.64","debit","Food & Dining","Sapphire","",""
"6/03/2016","Black Burger","BLACK BURGER","7.07","debit","Fast Food","Sapphire","",""
"6/03/2016","Toasties","TOASTIES","22.37","debit","Food & Dining","Sapphire","",""
"6/03/2016","For R","for 2R","455.87","credit","Income","Venmo","",""
"6/02/2016","USPS","USPS CHANGE OF66100959","1.00","debit","Shipping","Quicksilver","",""
"6/02/2016","USPS","USPS CHANGE OF66100959","1.00","debit","Shipping","Quicksilver","",""
"6/02/2016","Transfer from Regular Checking","AUTOMATIC PAYMENT - THANK","2098.10","credit","Credit Card Payment","Sapphire","",""
"6/02/2016","Gotan Tribeca","SQ *GOTAN TRIBECA","16.33","debit","Restaurants","Sapphire","",""
"6/01/2016","Roxy","ROXY HOTEL","10.80","debit","Movies & DVDs","Sapphire","",""
"6/01/2016","Bread Market","BREAD MARKET","14.46","debit","Restaurants","Sapphire","",""
"6/01/2016","Boltbus Internet","BOLTBUS - INTERNET","23.50","debit","Bus","Sapphire","",""
"6/01/2016","Venmo","VENMO-2 DES:PAYMENT ID:XXXXX1968 INDN:CORBIN PAGE CO ID:XXXXX81992 WEB","102.74","debit","Transfer","Regular Checking","",""
"5/31/2016","Marriott","MARRIOTT JW GR- STARBUCKS","3.55","debit","Hotel","Sapphire","",""
"5/31/2016","Marriott","JW MARRIOTT GRAND RAPI","385.20","debit","Hotel","Sapphire","",""
"5/31/2016","Genuine Superet","SQ *GENUINE SUPERET","9.99","debit","Food & Dining","Sapphire","",""
"5/31/2016","Hudson Farms","HUDSON FARM","13.00","debit","Groceries","Sapphire","",""
"5/31/2016","Harmony Brewing Compan","HARMONY BREWING COMPAN","22.05","debit","Alcohol & Bars","Sapphire","",""
"5/31/2016","Wedding","Wedding things","102.74","debit","Gift","Venmo","",""
"5/31/2016","Paesano Mulberry Stree","PAESANO MULBERRY STREE NEW YORK NY","101.31","debit","Restaurants","8572","CJ Expense",""
"5/31/2016","Duane Reade","DUANE READE #14115","11.49","debit","Pharmacy","Quicksilver","",""
"5/31/2016","Flycleaners","FLYCLEANERS","46.50","debit","Laundry","Quicksilver","",""
"5/31/2016","Seamlssbenvenutotribe","SEAMLSSBENVENUTOTRIBE","39.89","debit","Restaurants","Quicksilver","",""
"5/31/2016","Venmo","VENMO-2 DES:PAYMENT ID:XXXXX7734 INDN:CORBIN PAGE CO ID:XXXXX81992 WEB","15.00","debit","Transfer","Regular Checking","",""
"5/31/2016","Capital One Des","CAPITAL ONE DES:CRCARDPMT ID:XXXXX0189016130...","3312.72","debit","Credit Card Payment","Regular Checking","",""
"5/31/2016","Venmo","VENMO-2 DES:PAYMENT ID:XXXXX7726 INDN:CORBIN PAGE CO ID:XXXXX81992 WEB","47.50","debit","Transfer","Regular Checking","",""
"5/31/2016","Chase Des Autopay","CHASE DES:AUTOPAY ID:XXXXXXXXXX75806 INDN:PAGE CORBIN T CO ID:XXXXX39224 PPD","11.98","debit","Credit Card Payment","Regular Checking","",""
"5/30/2016","B O B","THE B.O.B.","12.07","debit","Food & Dining","Sapphire","",""
"5/30/2016","Newsexchangest","NEWSEXCHANGEST2545","23.54","debit","Food & Dining","Sapphire","",""
"5/30/2016","Marriott","MARRIOTT JW GR- STARBUCKS","3.55","debit","Hotel","Sapphire","",""
"5/30/2016","Za Game","Za game","15.00","debit","Food & Dining","Venmo","",""
"5/30/2016","The Way To Go","Uber is the way to go...","47.50","debit","Rental Car & Taxi","Venmo","",""
"5/30/2016","Chobani","CHOBANI NEW YORK NY","17.80","debit","Food & Dining","8572","CJ Expense",""
"5/30/2016","Whole Foods","WHOLEFDS TRB 10245","24.51","debit","Groceries","Quicksilver","",""
"5/29/2016","Spotify","SPOTIFY*USA-SUBS","9.99","debit","Music","Freedom","",""
"5/29/2016","Wall Street Journal","D J*WALL-ST-JOURNAL","373.10","debit","Newspapers & Magazines","Freedom","",""
"5/29/2016","Echo A Brandi","ECHO A BRANDI RINEHART SA","20.00","debit","Uncategorized","Sapphire","",""
"5/29/2016","Grand Rapids Brewing","GRAND RAPIDS BREWI","15.19","debit","Restaurants","Sapphire","",""
"5/29/2016","Bar & Restaurant","ZS BAR & RESTAURANT","38.99","debit","Restaurants","Sapphire","",""
"5/29/2016","Uber.com","UBER TECHNOLOGIES INC","30.03","debit","Rental Car & Taxi","Sapphire","",""
"5/29/2016","Tin Can Gr","TIN CAN GR LLC","26.00","debit","Groceries","Sapphire","",""
"5/28/2016","Capital One Autopay","CAPITAL ONE AUTOPAY PYMT","3312.72","credit","Credit Card Payment","Quicksilver","",""
"5/27/2016","Maggie's Kitchen","MAGGIE'S KITCHEN GRAND RAPIDS MI","18.76","debit","Restaurants","8572","CJ Expense",""
"5/27/2016","Automatic Thank","AUTOMATIC PAYMENT - THANK","11.98","credit","Credit Card Payment","Freedom","",""
"5/27/2016","Birds Bubbles","BIRDS & BUBBLES","39.75","debit","Food & Dining","Sapphire","",""
"5/27/2016","Check 339","Check 339","500.00","debit","Check","Regular Checking","",""
"5/27/2016","Venmo","VENMO-2 DES:PAYMENT ID:XXXXX6498 INDN:CORBIN PAGE CO ID:XXXXX81992 WEB","113.00","debit","Transfer","Regular Checking","",""
"5/27/2016","Go Java Coffee","GO JAVA COFFEE","2.39","debit","Coffee Shops","Quicksilver","",""
"5/27/2016","Metro","METRO CARS GR- MAIN","37.28","debit","Groceries","Quicksilver","",""
"5/26/2016","For Bumpin Uglies","for bumpin' uglies summer 2k16 volleyball","113.00","debit","Alcohol & Bars","Venmo","",""
"5/26/2016","Gotan Tribeca Llc","GOTAN TRIBECA LLC NEW YORK NY","25.04","debit","Business Services","8572","CJ Expense",""
"5/26/2016","Roxy","ROXY HOTEL","5.36","debit","Movies & DVDs","Quicksilver","",""
"5/26/2016","Sweetgreen Tri","SWEETGREEN TRI","13.45","debit","Restaurants","Quicksilver","",""
"5/26/2016","Soho Pharmacy","SOHO PHARMACY","205.25","debit","Pharmacy","Quicksilver","",""
"5/26/2016","Hudson Farms","HUDSON FARM","14.47","debit","Groceries","Quicksilver","",""
"5/26/2016","Amazon","AMAZON MKTPLACE PMTS","9.99","debit","Shopping","Sapphire","",""
"5/25/2016","Naya Express","NAYA EXPRESS","10.75","debit","Restaurants","Quicksilver","",""
"5/25/2016","Amazon","AMAZON MKTPLACE PMTS","24.00","debit","Shopping","Sapphire","",""
"5/25/2016","iTunes","APL* ITUNES.COM/BILL","20.63","debit","Electronics & Software","Sapphire","",""
"5/25/2016","Interest Paid","Interest Paid","87.08","credit","Interest Income","Money Market","",""
"5/24/2016","Subway","SUBWAY 04393047","7.84","debit","Fast Food","Quicksilver","",""
"5/24/2016","Seamlssmudvillerestau","SEAMLSSMUDVILLERESTAU","27.54","debit","Restaurants","Quicksilver","",""
"5/24/2016","Naya Express","NAYA EXPRESS","12.25","debit","Restaurants","Quicksilver","",""
"5/24/2016","Global Kitchen","GLOBAL KITCHEN","19.82","debit","Restaurants","Sapphire","",""
"5/23/2016","Venmo","VENMO-2 DES:PAYMENT ID:XXXXX7593 INDN:CORBIN PAGE CO ID:XXXXX81992 WEB","378.29","debit","Transfer","Regular Checking","",""
"5/23/2016","Founderdating","FOUNDERDATING","50.00","debit","Business Services","Sapphire","",""
"5/22/2016","Furniture from Megan & Mark","for","378.29","debit","Furnishings","Venmo","",""
"5/22/2016","iTunes","APL* ITUNES.COM/BILL","1.08","debit","Electronics & Software","Sapphire","",""
"5/22/2016","Zucker","ZUCKER'S BAGELS","13.07","debit","Restaurants","Quicksilver","",""
"5/22/2016","Seamlsssaluggis","SEAMLSSSALUGGIS","41.32","debit","Restaurants","Quicksilver","",""
"5/22/2016","Starbucks","STARBUCKS #15751 NEW YORK","3.54","debit","Coffee Shops","Quicksilver","",""
"5/21/2016","Wichcraft Tribeca","WICHCRAFT TRIBECA","11.43","debit","Coffee Shops","Quicksilver","",""
"5/21/2016","Zucker","ZUCKER'S BAGELS","15.51","debit","Restaurants","Quicksilver","",""
"5/21/2016","Nyc Taxi","NYC-TAXI","9.36","debit","Rental Car & Taxi","Quicksilver","",""
"5/20/2016","Seamlssfressdelicates","SEAMLSSFRESSDELICATES","28.36","debit","Restaurants","Quicksilver","",""
"5/20/2016","Nyc Taxi Sbv","NYC TAXI SBV115","8.76","debit","Rental Car & Taxi","Quicksilver","",""
"5/20/2016","Amazon","AMAZON MKTPLACE PMTS","4.41","debit","Shopping","Sapphire","",""
"5/19/2016","Hudson Farms","HUDSON FARM","30.73","debit","Groceries","Quicksilver","",""
"5/19/2016","J.Crew","J CREW","414.68","debit","Clothing","Quicksilver","",""
"5/19/2016","Seamlsschickpea","SEAMLSSCHICKPEA","25.48","debit","Restaurants","Quicksilver","",""
"5/19/2016","Amazon","AMAZON MKTPLACE PMTS","81.99","debit","Shopping","Sapphire","",""
"5/19/2016","Citi Autopay Des","CITI AUTOPAY DES:PAYMENT ID:XXXXX7458035774 INDN:CORBIN PAGE CO...","213.48","debit","Bills & Utilities","Regular Checking","",""
"5/18/2016","Capital","CAPITAL BIKE SHARE","16.00","debit","Travel","Sapphire","",""
"5/18/2016","Venmo","VENMO-2 DES:PAYMENT ID:XXXXX9348 INDN:CORBIN PAGE CO ID:XXXXX81992 WEB","50.00","debit","Transfer","Regular Checking","",""
"5/18/2016","Venmo","VENMO-2 DES:PAYMENT ID:XXXXX2262 INDN:CORBIN PAGE CO ID:XXXXX81992 WEB","126.00","debit","Transfer","Regular Checking","",""
"5/18/2016","Bkofamerica Mobile Deposit","BKOFAMERICA MOBILE 05/18 3444191661 DEPOSIT *MOBILE NC","463.59","credit","Pharmacy","Regular Checking","",""
"5/18/2016","Cash","Cash Credit","50.00","debit","Entertainment","Venmo","",""
"5/18/2016","Cookies","3 cookies","126.00","debit","Food & Dining","Venmo","",""
"5/18/2016","Transfer from Regular Checking","AUTOPAY 999990000004498RAUTOPAY AUTO-PMT","213.48","credit","Credit Card Payment","8572","CJ Expense",""
"5/18/2016","Boltbus Internet","BOLTBUS - INTERNET","15.50","debit","Bus","Quicksilver","",""
"5/18/2016","Gotan Tribeca Llc","GOTAN TRIBECA LLC","20.14","debit","Restaurants","Quicksilver","",""
"5/17/2016","Consolidated Edison","CON ED OF NY DES:INTELL CK ID:XXXXX3378000094 INDN:CORBIN PAGE CO...","66.17","debit","Utilities","Regular Checking","",""
"5/17/2016","CVS","CVS/PHARMACY #10123 BALTIMORE MD","30.08","debit","Pharmacy","8572","CJ Expense",""
"5/17/2016","Duke","DUKE MAILORDER WEB","24.00","debit","Clothing","Quicksilver","",""
"5/17/2016","Gift Shop Nj","GIFT SHOP NJ-T10906014","19.90","debit","Gift","Quicksilver","",""
"5/17/2016","Nyc Taxi D","NYC TAXI 3D88","15.35","debit","Rental Car & Taxi","Quicksilver","",""
"5/17/2016","Capital","CAPITAL BIKE SHARE","12.00","debit","Travel","Quicksilver","",""
"5/16/2016","Jimmy John's","JIMMY JOHNS - 1476","9.31","debit","Restaurants","Quicksilver","",""
"5/16/2016","Lombard Garage","LOMBARD GARAGE","29.00","debit","Parking","Quicksilver","",""
"5/16/2016","Hyatt","HYATT HOTELS GRAND WA.","684.72","debit","Hotel","Sapphire","",""
"5/16/2016","Capital","CAPITAL BIKE SHARE","16.00","debit","Travel","Sapphire","",""
"5/15/2016","Malmaison","MALMAISON","9.90","debit","Shopping","Quicksilver","",""
"5/15/2016","Don Tito","DON TITO","73.00","debit","Alcohol & Bars","Sapphire","",""
"5/15/2016","Uber.com","UBER TECHNOLOGIES INC","29.44","debit","Rental Car & Taxi","Sapphire","",""
"5/15/2016","Uber.com","UBER TECHNOLOGIES INC","5.35","debit","Rental Car & Taxi","Sapphire","",""
"5/15/2016","Uber.com","UBER TECHNOLOGIES INC","5.40","debit","Rental Car & Taxi","Sapphire","",""
"5/15/2016","Uber.com","UBER TECHNOLOGIES INC","14.87","debit","Rental Car & Taxi","Sapphire","",""
"5/15/2016","City Brewing","CAPITOL CITY BREWING DWN","21.10","debit","Shopping","Sapphire","",""
"5/15/2016","Uber.com","UBER TECHNOLOGIES INC","6.13","debit","Rental Car & Taxi","Sapphire","",""
"5/15/2016","Capital","CAPITAL BIKE SHARE","8.00","debit","Travel","Quicksilver","",""
"5/15/2016","Starbucks","STARBUCKS #07237 WASHINGT","2.72","debit","Coffee Shops","Quicksilver","",""
"5/14/2016","7-Eleven","7-ELEVEN 28840","12.20","debit","Fast Food","Quicksilver","",""
"5/14/2016","Market Blvd","MARKET ON THE BLVD.","14.69","debit","Groceries","Quicksilver","",""
"5/13/2016","Dial","DIAL CAB CO.","9.94","debit","Business Services","Quicksilver","",""
"5/13/2016","Makespace Com","MAKESPACE.COM","52.43","debit","Home Supplies","Quicksilver","",""
"5/13/2016","Starbucks","STARBUCKS #23466 WASHINGT","3.03","debit","Coffee Shops","Quicksilver","",""
"5/13/2016","Taxicharge","TAXICHARGE- WASHINGTON DC","11.98","debit","Rental Car & Taxi","Sapphire","",""
"5/12/2016","Starbucks","STARBUCKS #23466 WASHINGT","7.15","debit","Coffee Shops","Quicksilver","",""
"5/12/2016","City Brewing","CAPITOL CITY BREWING DWN","14.10","debit","Shopping","Quicksilver","",""
"5/12/2016","Iron Horse","Iron Horse","25.21","debit","Restaurants","Quicksilver","",""
"5/12/2016","City Brewing","CAPITOL CITY BREWING DWN","21.75","debit","Shopping","Quicksilver","",""
"5/12/2016","City Brewing","CAPITOL CITY BREWING DWN","14.10","debit","Shopping","Quicksilver","",""
"5/12/2016","Amazon","AMZ*Cole Haan Ecomme","64.95","debit","Shopping","Sapphire","",""
"5/11/2016","Amtrak","AMTRAK 1328528577319","17.00","debit","Travel","Quicksilver","",""
"5/11/2016","Amtrak","AMTRAK 1328528577319","17.00","credit","Travel","Quicksilver","",""
"5/11/2016","Amtrak","AMTRAK 1322993562716","8.00","debit","Travel","Quicksilver","",""
"5/11/2016","Venmo","VENMO-2 DES:PAYMENT ID:XXXXX6112 INDN:CORBIN PAGE CO ID:XXXXX81992 CCD","510.79","debit","Transfer","Regular Checking","",""
"5/11/2016","Jpmorgan Chase Des","JPMorgan Chase DES:Ext Trnsfr ID:XXXXX29119 INDN:NAVIGATOR LABS, LLC...","20700.00","credit","Transfer","Regular Checking","",""
"5/11/2016","CVS","CVS/PHARMACY #10123","13.51","debit","Pharmacy","Quicksilver","",""
"5/10/2016","For Expenses Splitwise","For expenses on splitwise.com","27.80","debit","Transfer","Venmo","",""
"5/10/2016","For Expenses Splitwise","For expenses on splitwise.com","17.86","debit","Transfer","Venmo","",""
"5/10/2016","For Expenses Splitwise","For expenses on splitwise.com","12.76","debit","Transfer","Venmo","",""
"5/10/2016","For Expenses Splitwise","For expenses on splitwise.com","510.79","debit","Transfer","Venmo","",""
